,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,ERDUS_target,kappa,gamma,rho,zeta
0,-50,0.5,0.5,0.5,0.5,0.5,0.5,0.5509544576723122,0.25,0.5,0.5,
1,-40,0.5,0.5,0.5,0.5,0.5,0.5,0.5209008826412901,0.3,0.5,0.5,
2,-30,0.5,0.5,0.5,0.5,0.5,0.5,0.5137561677863384,0.35,0.5,0.5,
3,-20,0.5,0.5,0.5,0.5,0.5,0.5,0.5056910655540562,0.4,0.5,0.5,
4,-10,0.5,0.5,0.5,0.5,0.5,0.5,0.502430730620626,0.45,0.5,0.5,
5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.4999150489625515,0.5,0.5,0.5,
6,10,0.5,0.5,0.5,0.5,0.5,0.5,0.4980765522687046,0.55,0.5,0.5,0.5
7,20,0.5,0.5,0.5,0.5,0.5,0.5,0.4968654359864407,0.6000000000000001,0.5,0.5,
8,30,0.5,0.5,0.5,0.5,0.5,0.5,0.495750842397587,0.65,0.5,0.5,
9,40,0.5,0.5,0.5,0.5,0.5,0.5,0.4884344259021143,0.7,0.5,0.5,
10,50,0.5,0.5,0.5,0.5,0.5,0.5,0.4849711213225065,0.75,0.5,0.5,
11,-100,,,,,,,,,,,0.5
12,-94,,,,,,,,,,,0.5
13,-88,,,,,,,,,,,0.5
14,-82,,,,,,,,,,,0.5
15,-76,,,,,,,,,,,0.5
16,-69,,,,,,,,,,,0.5
17,-63,,,,,,,,,,,0.5
18,-57,,,,,,,,,,,0.5
19,-51,,,,,,,,,,,0.5
20,-45,,,,,,,,,,,0.5
21,-39,,,,,,,,,,,0.5
22,-33,,,,,,,,,,,0.5
23,-27,,,,,,,,,,,0.5
24,-21,,,,,,,,,,,0.5
25,-15,,,,,,,,,,,0.5
26,-8,,,,,,,,,,,0.5
27,-2,,,,,,,,,,,0.5
28,4,,,,,,,,,,,0.5
29,16,,,,,,,,,,,0.5
30,22,,,,,,,,,,,0.5
