,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,DOMPATUS_target,DOMPATEU_target,kappa,gamma,rho
0,-50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5
1,-40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.5
2,-30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.35,0.5,0.5
3,-20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5
4,-10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5
5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6,10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.55,0.5,0.5
7,20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6000000000000001,0.5,0.5
8,30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.65,0.5,0.5
9,40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5
10,50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5
