,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,SINNOVPATEU_target,DOMPATINUS_target,DOMPATINEU_target,TE_target
0,-50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1,-40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,-30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
3,-20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
4,-10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
13,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16,10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
17,20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
18,30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
19,40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
20,50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
