,tau_factor_in_patenting_sector,optimal_delta_USA,optimal_delta_EUR,optimal_delta_JAP,optimal_delta_CHN,optimal_delta_BRA,optimal_delta_IND,optimal_delta_CAN,optimal_delta_KOR,optimal_delta_RUS,optimal_delta_MEX,optimal_delta_ROW
0,3.0,0.01,,,,,,,,,,
1,2.0,0.01,,,,,,,,,,
2,1.5,12.0,,,,,,,,,,
3,1.75,12.0,,,,,,,,,,
4,1.875,0.01,,,,,,,,,,
5,1.8125,12.0,,,,,,,,,,
6,1.84375,0.01,,,,,,,,,,
7,1.828125,0.01,,,,,,,,,,
8,1.8203125,12.0,,,,,,,,,,
9,1.82421875,0.01,,,,,,,,,,
10,1.822265625,0.01,,,,,,,,,,
11,1.8212890625,12.0,,,,,,,,,,
12,1.82177734375,12.0,,,,,,,,,,
13,1.822021484375,0.01,,,,,,,,,,
14,1.8218994140625,0.01,,,,,,,,,,
15,1.82183837890625,12.0,,,,,,,,,,
16,1.821868896484375,12.0,,,,,,,,,,
17,1.8218841552734375,12.0,,,,,,,,,,
18,1.8218917846679688,0.01,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
