origin_code,destination_code,sector,trade
1.0,1.0,0,10402507.543225
1.0,1.0,1,5203044.02
1.0,1.0,2,367866.149703
1.0,2.0,0,107537.712045
1.0,2.0,1,156592.08262200002
1.0,2.0,2,18356.619646
1.0,3.0,0,42452.55717
1.0,3.0,1,53067.663279
1.0,3.0,2,4238.721688
1.0,4.0,0,8379.532777
1.0,4.0,1,13821.752829000001
1.0,4.0,2,1580.1217159999999
1.0,5.0,0,6356.344675
1.0,5.0,1,9251.878267
1.0,5.0,2,2412.191242
1.0,6.0,0,2479.743468
1.0,6.0,1,3153.89993
1.0,6.0,2,654.014527
1.0,7.0,0,47511.50677
1.0,7.0,1,102156.339379
1.0,7.0,2,11426.042277999999
1.0,8.0,0,7805.075426
1.0,8.0,1,17170.982170000003
1.0,8.0,2,1241.828379
1.0,9.0,0,2172.40604
1.0,9.0,1,2617.194634
1.0,9.0,2,137.411705
1.0,10.0,0,30625.12778
1.0,10.0,1,74764.977893
1.0,10.0,2,7479.835742
1.0,11.0,0,1529.501609
1.0,11.0,1,2966.721273
1.0,11.0,2,251.62755900000002
1.0,12.0,0,75730.96627799999
1.0,12.0,1,98287.122279
1.0,12.0,2,12220.390545999999
2.0,1.0,0,105629.35879900001
2.0,1.0,1,191179.70902399998
2.0,1.0,2,36317.977109
2.0,2.0,0,11100589.963645
2.0,2.0,1,5894114.880586
2.0,2.0,2,435606.00049
2.0,3.0,0,30069.750589
2.0,3.0,1,39927.530679
2.0,3.0,2,5586.414201
2.0,4.0,0,8252.526955
2.0,4.0,1,21008.583258
2.0,4.0,2,1281.21942
2.0,5.0,0,7564.620004
2.0,5.0,1,14466.247142
2.0,5.0,2,2764.581295
2.0,6.0,0,4430.168957
2.0,6.0,1,9724.38085
2.0,6.0,2,768.125982
2.0,7.0,0,17039.167604
2.0,7.0,1,19372.431483
2.0,7.0,2,2899.9058560000003
2.0,8.0,0,6124.082748000001
2.0,8.0,1,12112.272442
2.0,8.0,2,1211.729576
2.0,9.0,0,10703.710842
2.0,9.0,1,17575.840822
2.0,9.0,2,1455.4586359999998
2.0,10.0,0,3666.785773
2.0,10.0,1,10013.040161
2.0,10.0,2,1801.845883
2.0,11.0,0,4295.332537
2.0,11.0,1,8666.352037
2.0,11.0,2,907.783744
2.0,12.0,0,122596.651924
2.0,12.0,1,173437.079388
2.0,12.0,2,26932.627185999998
3.0,1.0,0,26296.232826
3.0,1.0,1,106141.396414
3.0,1.0,2,7046.385867
3.0,2.0,0,22455.208355000002
3.0,2.0,1,64971.484580000004
3.0,2.0,2,4434.277874
3.0,3.0,0,4574938.442339
3.0,3.0,1,2563582.997926
3.0,3.0,2,200414.641278
3.0,4.0,0,7440.213764
3.0,4.0,1,20976.68969
3.0,4.0,2,2156.4637009999997
3.0,5.0,0,751.83678
3.0,5.0,1,2137.486115
3.0,5.0,2,237.441031
3.0,6.0,0,1316.533871
3.0,6.0,1,5033.936953
3.0,6.0,2,241.793044
3.0,7.0,0,1746.388261
3.0,7.0,1,6255.469516
3.0,7.0,2,267.663807
3.0,8.0,0,6496.351837
3.0,8.0,1,19548.491690000003
3.0,8.0,2,1584.4865449999998
3.0,9.0,0,208.852261
3.0,9.0,1,860.0153230000001
3.0,9.0,2,29.254416000000003
3.0,10.0,0,1111.2847769999998
3.0,10.0,1,4035.965547
3.0,10.0,2,248.203076
3.0,11.0,0,331.428756
3.0,11.0,1,1178.300436
3.0,11.0,2,53.204342999999994
3.0,12.0,0,27661.364362
3.0,12.0,1,65641.54394
3.0,12.0,2,4788.854804
4.0,1.0,0,7603.649877
4.0,1.0,1,52585.703584999996
4.0,1.0,2,2209.568623
4.0,2.0,0,6901.271515
4.0,2.0,1,31169.550132999997
4.0,2.0,2,2128.383898
4.0,3.0,0,7572.47056
4.0,3.0,1,25991.709373
4.0,3.0,2,1055.805387
4.0,4.0,0,1205056.385974
4.0,4.0,1,1188432.095009
4.0,4.0,2,142841.32237500002
4.0,5.0,0,167.990253
4.0,5.0,1,587.37883
4.0,5.0,2,145.277696
4.0,6.0,0,240.65466400000003
4.0,6.0,1,915.384764
4.0,6.0,2,243.532217
4.0,7.0,0,610.872973
4.0,7.0,1,3695.792708
4.0,7.0,2,120.1494
4.0,8.0,0,2109.887208
4.0,8.0,1,4260.283563
4.0,8.0,2,403.69324800000004
4.0,9.0,0,730.452576
4.0,9.0,1,1057.83331
4.0,9.0,2,105.471539
4.0,10.0,0,169.387893
4.0,10.0,1,1200.196293
4.0,10.0,2,130.411994
4.0,11.0,0,164.196988
4.0,11.0,1,648.054625
4.0,11.0,2,52.738367000000004
4.0,12.0,0,13246.967307
4.0,12.0,1,26484.706761
4.0,12.0,2,2126.1579
5.0,1.0,0,3463.92998
5.0,1.0,1,11292.823801999999
5.0,1.0,2,505.916278
5.0,2.0,0,6563.050893
5.0,2.0,1,9390.580508
5.0,2.0,2,511.800185
5.0,3.0,0,1291.3049660000001
5.0,3.0,1,1457.510235
