country_code,output,expenditure,deficit,gdp,labor,price_level,rnd_gdp
1,31513722.636683002,32054503.607961003,-540780.9712780006,0.0,212890784.0,,
2,33755341.344181,33305395.160322998,449946.18385800347,13.0,396980142.0,,
3,7879901.876267,7905204.67799,-25302.801722999662,0.0,76282461.0,,
4,31155156.819049,30872359.516579002,282797.3024699986,0.0,988302343.0,,
5,3073989.8114310005,3091598.608938,-17608.79750699969,0.0,142802802.0,,
6,3954560.2310940004,4015114.1892790003,-60553.95818499988,0.0,869459756.0,,
7,2738557.061416,2779307.7923359997,-40750.730919999536,0.0,24190332.0,,
8,3296362.9983860003,3198321.908321,98041.09006500011,0.0,37379210.0,,
9,2394667.541259,2291071.027108,103596.51415099995,0.0,100195558.0,,
10,2531731.9551319997,2559594.51031,-27862.555178000126,0.0,15760132.0,,
11,1951352.403746,1971504.5215740001,-20152.117828000104,0.0,78585113.0,,
12,1603334.169085,1604327.586531,-993.4174460000359,0.0,173432827.0,,
13,20334719.257277,20535094.997756,-200375.7404789999,75186364779678.7,1711099240.0,,
