origin_code,destination_code,sectors,patent flows
1.0,1.0,1.0,141058.10690223033
1.0,1.0,2.0,51618.49839000363
1.0,2.0,1.0,9571.814839690787
1.0,2.0,2.0,4531.560870991055
1.0,3.0,1.0,10508.425125191687
1.0,3.0,2.0,5348.386688952194
1.0,4.0,1.0,16965.151884035855
1.0,4.0,2.0,5992.376858018278
1.0,5.0,1.0,4235.994858290458
1.0,5.0,2.0,2982.3224303648662
1.0,6.0,1.0,6944.764265696016
1.0,6.0,2.0,3192.179127124224
1.0,7.0,1.0,8295.091265809744
1.0,7.0,2.0,5109.437307105812
1.0,8.0,1.0,6876.629571073611
1.0,8.0,2.0,2995.5444737216
1.0,9.0,1.0,2067.056278151067
1.0,9.0,2.0,1475.2308219156628
1.0,10.0,1.0,2838.8705936562706
1.0,10.0,2.0,2324.02419515375
1.0,11.0,1.0,708.0705866661295
1.0,11.0,2.0,754.8246215491896
1.0,12.0,1.0,834.4320137896148
1.0,12.0,2.0,623.8496618276872
2.0,1.0,1.0,34423.04237042713
2.0,1.0,2.0,11124.25011793319
2.0,2.0,1.0,28830.44490203545
2.0,2.0,2.0,8320.281018843778
2.0,3.0,1.0,11026.269528031815
2.0,3.0,2.0,5743.089403967035
2.0,4.0,1.0,20921.80406606314
2.0,4.0,2.0,6882.108302928739
2.0,5.0,1.0,6444.2874133993455
2.0,5.0,2.0,3715.30927259377
2.0,6.0,1.0,9133.280908205019
2.0,6.0,2.0,3674.7982593461807
2.0,7.0,1.0,5948.929681122812
2.0,7.0,2.0,3955.9844904424554
2.0,8.0,1.0,6576.882532552834
2.0,8.0,2.0,3384.327858125653
2.0,9.0,1.0,5274.949273502255
2.0,9.0,2.0,2292.4022202406554
2.0,10.0,1.0,2207.940990280846
2.0,10.0,2.0,2143.726526409939
2.0,11.0,1.0,1283.9222053491753
2.0,11.0,2.0,1055.1820531777369
2.0,12.0,1.0,637.6632987956563
2.0,12.0,2.0,525.3387127575675
3.0,1.0,1.0,40651.79976837101
3.0,1.0,2.0,8677.516981799303
3.0,2.0,1.0,6911.716344801975
3.0,2.0,2.0,2057.360325465584
3.0,3.0,1.0,200064.5633962149
