,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
0,0.5,-0.046211303019556886,-0.05804662618806878,-0.07547648972622828,0.10314973354000109,-0.045895605458360605,-0.04708917534320402,-0.051843317569876715,-0.06308719247615911,-0.04679540670176146,-0.04484348445917207,-0.04232850409295337,-0.02369445000333911,-0.02054515931633491
1,0.52,-0.04536148357728495,-0.057546103467013575,-0.07406329277472676,0.10563351418012647,-0.04568955096952808,-0.04693752697654419,-0.05147949908959202,-0.06376174061646124,-0.04657321880801907,-0.044526602656665214,-0.042499709253367345,-0.023608707492203066,-0.01954515239699402
2,0.54,-0.04444042134484451,-0.05691266626834906,-0.07247753680404431,0.1079120188766973,-0.045448038833792,-0.046750218051874876,-0.05110271457577894,-0.06435689183461288,-0.04636125583867173,-0.04421853816616941,-0.04266951410482816,-0.023551929756270604,-0.018516041230985266
3,0.56,-0.04344466359620297,-0.056142412215645476,-0.07073279653434006,0.10994138287322358,-0.04515983699905401,-0.046510401746675915,-0.05070534912437462,-0.06482124312184523,-0.046145842927767,-0.04390397206386715,-0.04281298151279695,-0.023509817480862307,-0.017459949961681827
4,0.58,-0.04238419423672111,-0.055242273751004385,-0.06884759661349968,0.11170269044497969,-0.04479758998127788,-0.04619396360566452,-0.05026714392947436,-0.06511634674262434,-0.045905867381671225,-0.04356858298100257,-0.04290657381240572,-0.02345857818983451,-0.01638780857525935
5,0.6,-0.0412864330461106,-0.05421671442916223,-0.06684065409009819,0.11320433465935624,-0.044345184259532544,-0.045789170444420615,-0.049766844830377646,-0.06518806212703593,-0.04561968835174267,-0.043198143993279293,-0.04293657291838804,-0.023377947683680268,-0.01529494775315334
6,0.62,-0.041090891078779085,-0.052824303165768055,-0.06260804455840312,0.11389006040403726,-0.04356893654878105,-0.0450572074346794,-0.04905955254649536,-0.06472139705152152,-0.04501701402561855,-0.04270342135418425,-0.042634834553082986,-0.023118488045279825,-0.014205889207362621
7,0.64,-0.040898225160138114,-0.05045529443252869,-0.060422440502739184,0.11437027190732107,-0.04276417186256774,-0.044283300828901036,-0.04837408854015451,-0.06412618380217447,-0.04432329264565052,-0.04226056105647967,-0.04232195204177191,-0.022841767599425484,-0.013072747723490343
8,0.66,-0.03974483561762568,-0.04929234612641297,-0.05844175919828705,0.11526474539978881,-0.04208265975263675,-0.04363213294662906,-0.04765042375169572,-0.0634867734328834,-0.043890880773626476,-0.04174677778594631,-0.042105038325269344,-0.022606764808572224,-0.011986019083194696
9,0.6799999999999999,-0.03855354447191731,-0.048055760584199886,-0.056426567490968825,0.11590850965152558,-0.04130401456703309,-0.04287442606139034,-0.046812280733018435,-0.06258252703916227,-0.04336163596612543,-0.04115099454675942,-0.041760314199640484,-0.022286677222823986,-0.010890684048213157
10,0.7,-0.03733453061453639,-0.0467587925604268,-0.054396761053869334,0.11631659983286412,-0.040435183045747475,-0.04201251055834736,-0.04586258768914163,-0.06143070619314091,-0.042726188366377836,-0.040479315917090926,-0.04128719116810382,-0.021877189892210543,-0.009794638634083704
11,0.72,-0.03833888921171414,-0.04514194472072827,-0.05348083337837957,0.12110282929955739,-0.03916535910816497,-0.04076986968487716,-0.044660957918626905,-0.059856895550244496,-0.04168813819560954,-0.039645787303240664,-0.040325461600380814,-0.020544058775941818,-0.007985115605250403
12,0.74,-0.036960439041786364,-0.0436885838889885,-0.051289781940401846,0.12093735303233202,-0.03809077805391725,-0.03967442364011995,-0.043413127889335115,-0.05823676145780219,-0.04079308421164888,-0.038724719200322465,-0.0395402929865177,-0.01993194591886614,-0.006860721372243216
