,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
0,0.5,-0.0337046100060102,-0.0318461424511089,-0.0529592175306915,-0.0175922674819179,-0.0246807979255423,-0.0242211116884273,-0.0262375974936813,0.6214302602819608,-0.023556767932413,-0.022398076384946,-0.0230231686277389,-0.0218790882261038,-0.0121574263482431
1,0.52,-0.0333943991407452,-0.0315859887194031,-0.0520419255124708,-0.0181454982721166,-0.0245043799719473,-0.0240576501213735,-0.0261822207018765,0.6199060735145759,-0.0233584570305981,-0.0223726679932093,-0.0227128544401432,-0.0217421836636229,-0.0121854366924953
2,0.54,-0.0330744376698701,-0.0313408175693268,-0.0510951662873712,-0.0187068079700036,-0.0243722107416131,-0.0239440692487776,-0.0261642448083326,0.6184134146175236,-0.0232021225863765,-0.0223927323645097,-0.0224716431142826,-0.021654482271986,-0.0122448376057082
3,0.56,-0.0327504867392586,-0.0311147954854152,-0.0501313440387999,-0.0192734913018513,-0.0242892289618623,-0.0238873153566047,-0.0261850738385485,0.6170362762845946,-0.0230973083700003,-0.0224619132094139,-0.0223144204852268,-0.0216255708717173,-0.0123376055406078
4,0.58,-0.0324319466433593,-0.0309056532529603,-0.049162056665329,-0.0198456264622169,-0.0242572662866713,-0.0238912108075731,-0.0262443296264227,0.6158539329881196,-0.0230512559688693,-0.0225827149597206,-0.0222530423417751,-0.0216630193893261,-0.012464349615157
5,0.6,-0.0321070980915073,-0.0307281328464793,-0.0482105889616325,-0.0204112978066804,-0.0242771234494225,-0.0239584072247931,-0.0263386958813139,0.6149298481110063,-0.0230729261800947,-0.0227528956982979,-0.022297242627538,-0.0217717867531134,-0.0126231720498858
6,0.62,-0.0317945656896413,-0.0305719829771884,-0.0472671207334966,-0.020975434364999,-0.0243437666774039,-0.024084892439228,-0.0264633811020699,0.6143092378551618,-0.0231617977084923,-0.022972579474315,-0.0224483401911279,-0.0219525073051891,-0.0128119508351923
7,0.64,-0.0314925097234516,-0.0304348913053573,-0.0463435748848608,-0.0215310393917292,-0.0244507558860954,-0.0242642864193854,-0.0266108164437275,0.6140078821483567,-0.0233158759896321,-0.0232366660178662,-0.0227021908885924,-0.0222007882997712,-0.0130247982253964
8,0.66,-0.0311997836606149,-0.0303118581737667,-0.0454418498647769,-0.0220697130811553,-0.0245883313708814,-0.024485854842531,-0.0267708033936748,0.6140127265852472,-0.023527488947188,-0.0235369164521597,-0.0230461899372999,-0.0225062543055155,-0.0132531414880031
9,0.6799999999999999,-0.0309129803414122,-0.0301960376073416,-0.0445605833249279,-0.0225813949555576,-0.0247446475995691,-0.0247357297181425,-0.026931266202683,0.6142817050668533,-0.0237841615667316,-0.0238621410426252,-0.0234603742519464,-0.0228533915135401,-0.01348620142506
10,0.7,-0.0306269935804282,-0.0300792722223583,-0.0436958381845115,-0.0230551543308037,-0.0249066451553899,-0.0249980083840242,-0.0270790990140466,0.6147479066922117,-0.0240696547976221,-0.0241987871803603,-0.0239192150730214,-0.023222875558471,-0.0137118482706128
11,0.72,-0.0303357125175097,-0.02995283125923,-0.0428420790459024,-0.0234802604725362,-0.0250610595283978,-0.0252560530848682,-0.0272012103461916,0.6153263281772844,-0.024365565794131,-0.0245318488545227,-0.0243943321883628,-0.0235935166950605,-0.0139177160575631
12,0.74,-0.0300329745712213,-0.0298080819335524,-0.0419931277703265,-0.0238476963218061,-0.0251952811184016,-0.0254936635781918,-0.0272854704443487,0.6159240380043401,-0.0246530112141671,-0.0248458105129317,-0.0248573579067281,-0.0239443283247537,-0.0140923601278156
13,0.76,-0.0297108466653315,-0.0296376260686079,-0.0411424031628065,-0.024153391706491,-0.0252986096014675,-0.0256966098237511,-0.0273219530530628,0.6164433614967378,-0.0249147460806142,-0.0251261108071082,-0.0252830855663632,-0.0242570948008351,-0.0142266160488012
14,0.78,-0.0293666481994202,-0.0294353184218124,-0.0402863022256624,-0.0243879864239142,-0.0253621762884375,-0.0258529468732277,-0.0273032363786894,0.6167913273257066,-0.0251358709279757,-0.0253600667492379,-0.025650634985623,-0.0245158927217808,-0.0143127635682283
15,0.8,-0.0289968998754596,-0.0291968762170666,-0.0394215791452832,-0.0245489891472165,-0.0253796909459764,-0.0259538284788941,-0.0272247620987818,0.6168866585490581,-0.0253049882184867,-0.0255373593761693,-0.0259448814577953,-0.0247096134352423,-0.0143463019249461
16,0.8200000000000001,-0.0285999282360117,-0.0289198461292631,-0.0385465112229364,-0.024636072302871,-0.0253472974235806,-0.0259935438238685,-0.0270847700508328,0.6166626179224003,-0.0254142957541856,-0.0256506278565897,-0.0261563553074878,-0.0248313781061178,-0.0143253085813607
17,0.8400000000000001,-0.0281753897501765,-0.0286042196956108,-0.0376611489794291,-0.0246487847727911,-0.0252636382436187,-0.0259696493622565,-0.0268842660871271,0.6160679522499948,-0.0254597878297746,-0.0256958426460745,-0.0262810614001087,-0.0248782425826991,-0.014249941539399
18,0.86,-0.0277228247664272,-0.0282495898122172,-0.0367662840111108,-0.0245991827365955,-0.0251291566495073,-0.0258820588141885,-0.0266259967261049,0.6150693866624738,-0.0254401052573183,-0.0256715941536918,-0.0263190821156613,-0.0248516362076502,-0.0141238469719072
19,0.88,-0.0272457732642049,-0.0278589661223065,-0.0358642027401226,-0.0244860092396768,-0.0249459473152445,-0.0257331687647946,-0.0263145894922041,0.613646939743985,-0.0253568629600891,-0.0255794983937671,-0.0262739524935561,-0.0247540767801731,-0.0139498852006996
20,0.9,-0.0242696418929893,-0.0278769570875933,-0.0354121942886746,-0.0230456873145385,-0.025095275827591,-0.025900317681927,-0.0263908680928492,0.6038784244665367,-0.0256697400800951,-0.0257159596546719,-0.0265836913560074,-0.0247953482305395,-0.0134572168164936
21,0.92,-0.023669946367125,-0.0273969319036498,-0.0344737043541455,-0.0227650257798427,-0.0247974875726551,-0.0256128000657951,-0.0259681417070382,0.6015341656406695,-0.0254428778933649,-0.0254832979443288,-0.026360459552705,-0.0245397890920365,-0.0131581841383086
22,0.94,-0.0230601262909718,-0.0268923177462646,-0.0335382385779657,-0.0224432260070803,-0.0244633772298795,-0.0252793930311265,-0.0255097730779823,0.5988071808601765,-0.0251664232088112,-0.0251968983223906,-0.0260758444137091,-0.0242324051656812,-0.0128283846098127
23,0.96,-0.0224440302958456,-0.0263679275763897,-0.0326097041604752,-0.0220869194221694,-0.0240983722558979,-0.0249069372336232,-0.0250228101894212,0.5957188369404016,-0.0248471091842398,-0.0248640671116974,-0.0257390510382463,-0.0238811018274852,-0.0124737972006867
24,0.98,-0.0218254537330264,-0.0258285568601009,-0.0316918643834886,-0.0217024855626177,-0.0237079123973026,-0.0245022942086816,-0.0245140277074555,0.5922961250461735,-0.0244917727305782,-0.0244923117886949,-0.0253591171520801,-0.0234936717344277,-0.0121001605950554
