,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
0,0.5,-0.0995437583860441,0.1530894412624782,-0.1031368634739338,-0.0740618163509533,-0.0675323421580125,-0.068830076299591,-0.0839632418845239,-0.0963175928392334,-0.0459466287161453,-0.0768387535109994,-0.0668590221712244,-0.0735835351321361,-0.0668685831012185,-0.036886953105625
1,0.52,-0.100086153826987,0.1525546536904187,-0.1029563494193306,-0.0757906199658046,-0.0691564138960935,-0.0701902454158113,-0.084813086057286,-0.0974262550010126,-0.0480604246898568,-0.0777482524175792,-0.0682307103440432,-0.0747745624784168,-0.0682091314734985,-0.0377955807440842
2,0.54,-0.100527865639004,0.1520313743766384,-0.1027212387261862,-0.0774253006499229,-0.0709077089459637,-0.0716651856307236,-0.0857186745642471,-0.0986143665823191,-0.0504546638296831,-0.0787217013182825,-0.0697493803429636,-0.0761116839181074,-0.0696524055809088,-0.0386980568388351
3,0.56,-0.1008477442835361,0.1514906314042055,-0.1024310792963593,-0.0789333677340492,-0.0727285301880488,-0.0732174015207322,-0.0866570056746082,-0.0998297082432798,-0.053066335173413,-0.0797466274647535,-0.0713859875730617,-0.0775637218303752,-0.0711592228875887,-0.0395854179228372
4,0.58,-0.0968498545134046,0.1454595654206932,-0.1025722735964458,-0.0775961250482655,-0.0749949344412034,-0.0752808482940283,-0.0872562434749776,-0.1013864219239679,-0.0569647516317018,-0.0801235071888663,-0.0735888371664448,-0.0794248642563175,-0.0727483416325786,-0.0404152565788787
5,0.6,-0.0965161352715542,0.144700831009477,-0.1020133644543446,-0.0784610291876266,-0.076640363988399,-0.0767108149636487,-0.0880762193799354,-0.1023908176970342,-0.0597191058793007,-0.0810627430962678,-0.0751658934957848,-0.0808410203036266,-0.074124211135004,-0.0410468503405293
6,0.62,-0.0960381674382964,0.1438569640542913,-0.1013879557754982,-0.0791620310156628,-0.0781820579253239,-0.0780864101985686,-0.0888530472492341,-0.1032744509481109,-0.0624867170522171,-0.081982417652141,-0.076695759968629,-0.0822275493698782,-0.0754461064872152,-0.0416088022197803
7,0.64,-0.0954332686910201,0.1428932021944668,-0.1007010272904639,-0.0796986083078684,-0.0795819478777057,-0.0793572932371842,-0.0895547401551247,-0.1039834623448433,-0.0652057802219178,-0.0828609593299021,-0.0781434742066969,-0.0835512724524426,-0.0766904166225187,-0.0420934563851872
8,0.66,-0.0946987646213817,0.1418054960961357,-0.0999548432765623,-0.0800774106297547,-0.0808068695945899,-0.0805139951565776,-0.0901523324631337,-0.1045074750618443,-0.0678219648460766,-0.0836733041738959,-0.0794684804270475,-0.0847635861688783,-0.0778180340641323,-0.042503472400362
9,0.6799999999999999,-0.0938555503036271,0.1405734500921543,-0.0991517003440347,-0.0803083232703952,-0.0818486620614479,-0.0815288070520861,-0.0906252419393562,-0.10482824923654,-0.0702810643519789,-0.0843949127951938,-0.0806434524026241,-0.085837113464442,-0.0788106862943585,-0.0428328839512417
10,0.7,-0.0929197342000238,0.1392006100372524,-0.0982977165999902,-0.0804026954292835,-0.0826972165259697,-0.0823880716776257,-0.0909576697459708,-0.1049415849675628,-0.0725501719473332,-0.0850130849887566,-0.0816505312293098,-0.0867550840717446,-0.079655225541204,-0.0430844100074592
11,0.72,-0.0919007670943975,0.1376804686558306,-0.0973984610867563,-0.0803709801371069,-0.0833574596206511,-0.0830903728387818,-0.0911424509125452,-0.1048443333080309,-0.0745922783840108,-0.0855170133081564,-0.0824816225371186,-0.0875006351947644,-0.0803464186580596,-0.0432624811384239
12,0.74,-0.0908147393225515,0.1360249085949068,-0.0964606189665978,-0.0802285578955352,-0.0838350579867273,-0.0836315943896672,-0.0911756501067757,-0.10455633201396,-0.0763898434089148,-0.085896519758201,-0.0831328532135223,-0.0880630201189311,-0.0808776506234924,-0.0433712883649506
13,0.76,-0.089675345237065,0.1342431303409245,-0.0954898619459985,-0.0799883945428713,-0.0841392991873334,-0.0840159171258271,-0.0910509646007577,-0.1040906590230211,-0.0779390637536479,-0.0861440121300528,-0.083608365620631,-0.0884485580701913,-0.081249974874835,-0.0434155075317383
14,0.78,-0.0884902411944941,0.1323434387128476,-0.0944878277518464,-0.0796541897317063,-0.0842896607406637,-0.0842496377184214,-0.0907830809049978,-0.1034683502223652,-0.0792301996503912,-0.0862651656973496,-0.0839121997730838,-0.0886636212861174,-0.0814709373950452,-0.0434010824185382
15,0.8,-0.0872747259859349,0.1303453592862042,-0.0934674668827622,-0.0792445220486772,-0.0842947289193575,-0.0843427392379882,-0.0903830383595119,-0.1027073188464603,-0.0802753660553771,-0.0862594075839582,-0.0840607252651407,-0.0887124955834667,-0.0815514928420198,-0.0433368821072936
16,0.8200000000000001,-0.0850578123674298,0.1290354931556764,-0.0922629407257435,-0.0832863081615151,-0.0841184379491297,-0.084185195417543,-0.0897262444797811,-0.1016099850046447,-0.0809227371674502,-0.0859641834463478,-0.0840634475894557,-0.0885679836213239,-0.0819559258217408,-0.0438356802520984
17,0.8400000000000001,-0.0838708510248267,0.1268564691329588,-0.0912582892668634,-0.082889316602813,-0.0839372813792557,-0.0840792667246848,-0.0891517115356205,-0.1006772119862631,-0.0815609943820539,-0.0857793631759415,-0.0839876783253461,-0.0883834361661825,-0.0818430022218973,-0.0437573101790047
