,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
0,0.5,-0.0004449714165832,-0.0004033558106519,-0.0004948759584612,-0.0003456352442043,-0.0003530636338442,-0.0003139993493502,-0.0003763236688129,-0.0004521318256772,-0.0004064847650981,-0.0003445206966238,0.050716416679272,-0.00031291325131,-6.676080549021601e-05,5.226177248333608e-05
1,0.52,-0.0004392294141232,-0.0004016041786744,-0.0004876969439711,-0.0003422040751947,-0.0003483496758491,-0.0003120425198558,-0.0003715036145259,-0.0004481866126044,-0.0004014921285471,-0.0003422561554261,0.0507321877037833,-0.0003096197658336,-6.196229571513874e-05,5.395064729996209e-05
2,0.54,-0.0004340221803158,-0.0004004203051914,-0.000479517192353,-0.0003416942774499,-0.0003435881622744,-0.0003088673484748,-0.0003689064543158,-0.0004457306872339,-0.0003970000409945,-0.0003426953723739,0.0507172775715126,-0.0003028991600099,-5.843598353276206e-05,5.65532226862166e-05
3,0.56,-0.000427337759345,-0.0003978492918213,-0.0004706813943604,-0.0003386527836008,-0.0003401290413661,-0.0003045457425723,-0.000366989005543,-0.0004404544503051,-0.0003921933340663,-0.0003376465053856,0.0506792722902413,-0.0002987047334279,-5.5855406567130026e-05,5.8415407435522273e-05
4,0.58,-0.0004181642201465,-0.000393134624451,-0.0004613598357024,-0.0003376395179648,-0.0003369696380948,-0.0002990023004297,-0.0003627545854056,-0.0004376977781426,-0.0003863689005201,-0.0003333596383598,0.0506130797656122,-0.0002963030419969,-5.038957951953263e-05,5.847573898624293e-05
5,0.6,-0.0004109807420305,-0.0003913102736894,-0.0004513297863541,-0.0003342630751769,-0.0003315931666701,-0.0002963719638692,-0.0003610291158462,-0.0004343801360356,-0.0003807756767017,-0.0003307592837102,0.0505208531755611,-0.0002926009440359,-4.60624230972187e-05,6.026937195030196e-05
6,0.62,-0.0004034581621973,-0.0003883482525167,-0.0004430026764883,-0.0003299319418372,-0.0003287893779018,-0.0002947734598245,-0.0003572234683982,-0.000427030733221,-0.0003753245075027,-0.0003304952093371,0.0504083562151951,-0.0002916267691401,-4.323630862525188e-05,6.0168505755276245e-05
7,0.64,-0.0003952652195017,-0.0003850387855534,-0.0004334822774644,-0.0003292088025165,-0.000324830715498,-0.000292183046861,-0.00035499163778,-0.0004229894073459,-0.0003702214863948,-0.0003278965051086,0.0502725328782358,-0.0002896129798247,-4.197957065299237e-05,6.0794596015562494e-05
8,0.66,-0.0003871564801511,-0.0003810768819044,-0.000423334420952,-0.0003227414458588,-0.0003222916577411,-0.0002890085744222,-0.0003511135082922,-0.0004179718480506,-0.0003631731705895,-0.00032425169368,0.0501132768007054,-0.0002865167998425,-4.043501378206413e-05,6.0674652793831674e-05
9,0.6799999999999999,-0.0003800531241324,-0.0003767581991108,-0.0004140531359694,-0.0003205115567863,-0.0003149479765196,-0.0002873859489762,-0.0003471406202249,-0.0004104915415349,-0.0003569162020999,-0.0003210333979743,0.0499297608316697,-0.0002857132074257,-3.7656181701206103e-05,6.0136132177301786e-05
