,delta_dom,delta_int,welfare
USA,0.01,0.01,1.0973818501499295
EUR,0.01,0.01,1.7027462879233894
JAP,0.01,0.01,1.8123011017565602
CHN,12.0,12.0,7.9802887253595145
BRA,11.999999999843984,11.999999999843984,7.412589132095775
IND,11.86114815611629,11.86114815611629,7.1552151596273745
CAN,0.01,0.01,3.2149576546743504
KOR,0.01,0.01,3.218239889372356
RUS,0.01,0.01,0.7178506243598122
MEX,0.01,0.01,1.269853766776336
ZAF,12.0,12.0,7.31041901018412
ROW,12.0,12.0,6.9375562204809995
Negishi,,,4.463422808831524
Equal,,,6.836118073884421
