,T_pat_KOR,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,5409486.699565084,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.8463545612443649,0.09611645587931154,0.9541959908653296,12.0
2,384622.248697399,0.01,0.01,0.01,12.0,0.9272547743858988,12.0,0.01,0.01,0.4261243865153722,0.07747710058024312,0.4011721738275552,12.0
3,102558.95222545597,0.01,0.01,0.01,12.0,0.9959558200973468,12.0,0.01,0.01,0.4497451139935978,0.07137129578957489,0.42393205041095283,12.0
4,52959.41286388207,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.45957315628541484,0.07060273072227283,0.43341538387432876,12.0
5,38056.42204929858,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4618748341784989,0.07100466261769789,0.4357270529070572,12.0
6,32260.44482495001,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.46530214908497775,0.06873339582428847,0.43925356251183684,12.0
7,29702.400497657003,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4643441198842878,0.07038360601793268,0.43833462250952754,12.0
8,28500.478322947867,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.45726395026075295,0.0759521137453494,0.43073026953565186,12.0
9,27917.880785155954,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.45879024866394313,0.07392061537346738,0.4321040056046367,12.0
10,27631.063325685664,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.46707367082247625,0.06819390202312851,0.44099850044026995,12.0
11,27488.76148949931,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4643341467599679,0.06999961115163561,0.43820469030549947,12.0
