,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW
USA,2.472345023052198,0.8669946517552911,0.3788061132243013,0.956944774265238,0.41361143829169744,0.5898015568463877,0.7454495392238707,0.4356596456617606,0.38184948459434803,0.8415322826912984,0.22842492844924941,0.8001124278736438
EUR,0.616472101089654,2.8362568203608616,0.26358214559640836,0.961581719928767,0.42641648333419446,0.6027040373795785,0.30822825591684894,0.42077908634995,0.6502660769124522,0.3699803643871371,0.31201548958941727,0.9621061564400059
JAP,0.1392439622052718,0.18900669274902457,0.6801602776850171,0.28018896986121594,0.09504266130494216,0.11552809245370392,0.06851755875916098,0.13909237858742277,0.11095464192533443,0.07995201328924802,0.0704372833507528,0.24294815518975793
CHN,0.24833064747389022,0.5221319706787165,0.32330844406853126,2.9613712659686806,0.29093854398740043,0.39677479917224895,0.28465606884340905,0.5893538425262218,0.35246218829538584,0.26771428405234887,0.24062175393471857,0.786765014676919
BRA,0.061172066117221716,0.08888593059119368,0.019273525624781785,0.08424543808786439,0.27060419614689524,0.055168895368229144,0.030473875364150797,0.03944113935942745,0.03963415697391473,0.05104778066737303,0.02332892550406835,0.08752220192833084
IND,0.0578370410575019,0.10718868355672298,0.04580885984563894,0.13689582135974865,0.044804347810689246,0.3452388926626521,0.03096970973596464,0.07599666549819772,0.05532271214281784,0.0359082373168711,0.03691115585700076,0.1351415748707795
CAN,0.12228344737244062,0.07981641467648458,0.03266484609441032,0.08855252941128391,0.03635663435563265,0.046509832339449476,0.18898230704458835,0.03904101835900023,0.02818410303336875,0.07091212712758627,0.02049289332829986,0.07357554571161722
KOR,0.06506036763894203,0.09170013922373799,0.07240065944586033,0.12350261701673676,0.03654841035135984,0.05688446288009256,0.027415835705129968,0.289404546504455,0.05451392911297065,0.04045784974006592,0.029670793671024733,0.10797326340397598
RUS,0.03394612856578394,0.08608374102778764,0.024103910087247177,0.07274987749733101,0.030941426116425606,0.032768002622034234,0.01719576704011327,0.030509906970406682,0.1779024272064744,0.020658591172795622,0.014133361028255494,0.07397084016248942
MEX,0.09637675963897172,0.06488035242668697,0.037696720402020885,0.08060379426288299,0.035220365420839776,0.03361200253824985,0.041660290140092975,0.04639904101125574,0.0222813031383105,0.15699548155106433,0.011823416325494036,0.059585687912856886
ZAF,0.01227761445494335,0.02681787113627452,0.008409481546990241,0.022693959613482553,0.010463303328744717,0.01770005599732413,0.005838068834093221,0.00951978204364675,0.007486935943308509,0.008573709336183897,0.05262132317608743,0.022883346797974553
ROW,0.5247639674432086,0.8019222513671695,0.4520379304010571,0.8444767137399444,0.3939420228886568,0.5384700062073665,0.2480598963965637,0.498498782816656,0.4183200683265089,0.33764031011782053,0.3151981686249022,1.7951381732868934
